Product Name,SKU,Barcode,Description,Category,Cost Price (₦),Selling Price (₦),Stock Qty,Reorder Level,Reorder Qty,Tax Rate (%),Active
ACCU-CHEK MACHINE (NO STRIP) PACK,ACCUCHEKMACH-0022,,,PHARMACY,19500.00,26500.00,0,5,0,7.5,TRUE
ACCU-CHEK STRIP PACK,ACCUCHEKSTRI-0023,,,PHARMACY,13000.00,18000.00,34,5,0,7.5,TRUE
ACEL PLUS TAB PACK,ACELPLUSTABP-0024,,,PHARMACY,450.00,1000.00,7,5,0,7.5,TRUE
ACEPOL SUSP 100ML X 1 BOTTLE,ACEPOLSUSP10-0025,,,PHARMACY,530.00,800.00,0,5,0,7.5,TRUE
ACER TABLET (LEVOFLOXACIN 500MG) X10,ACERTABLETLE-0026,,,PHARMACY,1200.00,1700.00,10,5,0,7.5,TRUE
ACETAZOLAMIDE 250MG  BLISTER (MANFES),ACETAZOLAMID-0027,,,PHARMACY,766.67,1000.00,10,5,0,7.5,TRUE
ACETAZOLAMIDE(MULTICOY) TABS 25 BLISTER,ACETAZOLAMID-0028,,,PHARMACY,433.33,600.00,0,5,0,7.5,TRUE
ACHOL CARE PACK,ACHOLCAREPAC-0029,,,PHARMACY,10500.00,14200.00,1,5,0,7.5,TRUE
ACHOL SAFE PACK,ACHOLSAFEPAC-0030,,,PHARMACY,0.00,14200.00,0,5,0,7.5,TRUE
ACICLOVIR 400MG TAB BLISTER,ACICLOVIR400-0031,,,PHARMACY,1950.00,2800.00,2,5,0,7.5,TRUE
ACICLOVIR 5% CREAM POCCO,ACICLOVIR5CR-0032,,,PHARMACY,800.00,2000.00,1,5,0,7.5,TRUE
ACNEAWAY CREAM 20G TUBE,ACNEAWAYCREA-0033,,,PHARMACY,700.00,900.00,12,5,0,7.5,TRUE
ACRETIN 0.05% CREAM 30G TUBE,ACRETIN005CR-0034,,,PHARMACY,7790.00,10200.00,0,5,0,7.5,TRUE
ACTIFED DRY COUGH,ACTIFEDDRYCO-0035,,,PHARMACY,5540.00,7100.00,0,5,0,7.5,TRUE
ACTIFED SYR  60ML BOTTLE,ACTIFEDSYR60-0036,,,PHARMACY,794.11,1100.00,0,5,0,7.5,TRUE
ACTIFED TAB PACK,ACTIFEDTABPA-0037,,,PHARMACY,1700.00,9000.00,0,5,0,7.5,TRUE
ACTIFED TABS  PER TABLET,ACTIFEDTABSP-0038,,,PHARMACY,141.67,750.00,0,5,0,7.5,TRUE
ACTIFIZZ VITC + ZINC D3,5060501060588,,,PHARMACY,2300.00,3000.00,1,5,0,7.5,TRUE
ACTIVE MAN SPRAY,ACTIVEMANSPR-0040,,,COSMETICS,0.00,3800.00,0,5,0,7.5,TRUE
ACTIVE WOMAN SPRAY,ACTIVEWOMANS-0041,,,HOUSEHOLD ITEMS,0.00,3800.00,0,5,0,7.5,TRUE
ACTIVO WOMAN,ACTIVOWOMAN-0042,,,PHARMACY,6000.00,8100.00,2,5,0,7.5,TRUE
ACTRAPID INJ 100IU VIALS,ACTRAPIDINJ1-0043,,,PHARMACY,14200.00,19200.00,4,5,0,7.5,TRUE
ACYCOR PLUS TABS PACK,ACYCORPLUSTA-0044,,,PHARMACY,710.00,1000.00,16,5,0,7.5,TRUE
ACYCOR TABS 100MG PACK,ACYCORTABS10-0045,,,PHARMACY,570.00,800.00,16,5,0,7.5,TRUE
ACYVIR EYE OINTMENT 5G ACICLOVIR 3%,ACYVIREYEOIN-0046,,,PHARMACY,4300.00,5800.00,1,5,0,7.5,TRUE
ADAMS DESIRE X 15 TABS PACK,ADAMSDESIREX-0047,,,PHARMACY,0.00,2500.00,0,5,0,7.5,TRUE
ADAMS DESIRE X 30 TABS JAR,ADAMSDESIREX-0048,,,PHARMACY,16350.00,22100.00,0,5,0,7.5,TRUE
ADAMS DESIRE X 60 CAPS JAR,ADAMSDESIREX-0049,,,PHARMACY,20100.00,27200.00,0,5,0,7.5,TRUE
ADAY KIT TABS X 4 PACK,ADAYKITTABSX-0050,,,PHARMACY,2000.00,3000.00,61,5,0,7.5,TRUE
ADDYZOA X 20 CAPS PACK,ADDYZOAX20CA-0051,,,PHARMACY,8025.00,11000.00,20,5,0,7.5,TRUE
AD-FLUCONAZOLE 150MG TABS PACK,ADFLUCONAZOL-0052,,,PHARMACY,450.00,1300.00,0,5,0,7.5,TRUE
ADJUSTABLE ARMSLING X 1 PACK,ADJUSTABLEAR-0053,,,PHARMACY,0.00,2700.00,0,5,0,7.5,TRUE
ADMICIN LEVOFLOXACIN 500MG,ADMICINLEVOF-0054,,,PHARMACY,800.00,1500.00,2,5,0,7.5,TRUE
ADMINISTRATION BLOCK,ADMINISTRATI-0055,,,PHARMACY,0.00,500.00,0,5,0,7.5,TRUE
ADMIRE WAFFERS CHOCOLATE PIECES,ADMIREWAFFER-0056,,,CHOCOLATES,375.00,500.00,17,5,0,7.5,TRUE
ADRENALINE INJ,ADRENALINEIN-0057,,,PHARMACY,0.00,0.00,0,5,0,7.5,TRUE
ADRENALINE INJ AMPOULE,ADRENALINEIN-0058,,,PHARMACY,48.00,100.00,26,5,0,7.5,TRUE
ADUN PLANTAIN CHIPS B/S,ADUNPLANTAIN-0059,,,FOOD ITEMS,2250.00,2600.00,6,5,0,7.5,TRUE
ADVANCE COLLAGEN X160 N/F,ADVANCECOLLA-0060,,,PHARMACY,10000.00,160000.00,1,5,0,7.5,TRUE
ADVANT TABS 16MG X 28 BLISTER,ADVANTTABS16-0061,,,PHARMACY,1175.00,1600.00,10,5,0,7.5,TRUE
ADVANT TABS 8MG X 14 BLISTER,ADVANTTABS8M-0062,,,PHARMACY,1025.00,1800.00,20,5,0,7.5,TRUE
AEROLINE INHALER,AEROLINEINHA-0063,,,PHARMACY,2570.00,4000.00,14,5,0,7.5,TRUE
AFABETA (ARTEETHER) 150MG PACK,AFABETAARTEE-0064,,,PHARMACY,1935.00,2600.00,2,5,0,7.5,TRUE
AFM-T EYE DROPS 0.1% 5ML BOTTLE,AFMTEYEDROPS-0065,,,PHARMACY,1413.33,2100.00,0,5,0,7.5,TRUE
AFRABVITE DROPS 15ML BOTTLE,AFRABVITEDRO-0066,,,PHARMACY,635.00,900.00,22,5,0,7.5,TRUE
AFRABVITE SYR 100ML BOTTLE,AFRABVITESYR-0067,,,PHARMACY,698.00,1000.00,30,5,0,7.5,TRUE
AFRICURE COD LIVER OIL 1000MG C SACHET,AFRICURECODL-0068,,,PHARMACY,950.00,1300.00,3,5,0,7.5,TRUE
AGEWELL SLIMFIT CAP WOMAN X 60 PACK,AGEWELLSLIMF-0069,,,PHARMACY,6100.00,7900.00,0,5,0,7.5,TRUE
AGEWELL SLIMFIT MEN X120,AGEWELLSLIMF-0070,,,PHARMACY,9350.00,12700.00,1,5,0,7.5,TRUE
AGEWELL SLIMFIT MEN X60,AGEWELLSLIMF-0071,,,PHARMACY,4450.00,5600.00,1,5,0,7.5,TRUE
AGEWELL VIRGIN COCONUT X60,AGEWELLVIRGI-0072,,,PHARMACY,11000.00,14900.00,1,5,0,7.5,TRUE
AGNESIA  DUSTING  POWDER  300G TIN,AGNESIADUSTI-0073,,,HOUSEHOLD ITEMS,4000.00,4600.00,0,5,0,7.5,TRUE
AGNESIA  DUSTING POWDER 100G TIN,AGNESIADUSTI-0074,,,HOUSEHOLD ITEMS,1962.48,2500.00,0,5,0,7.5,TRUE
AGNESIA BABY SOAP 90G PACK,AGNESIABABYS-0075,,,PHARMACY,333.33,600.00,8,5,0,7.5,TRUE
AIR HEADS 15G FOIL STRIP,AIRHEADS15GF-0076,,,PHARMACY,0.00,100.00,0,5,0,7.5,TRUE
AKSOCORT CREAM 20G HYDROCORTISONE,AKSOCORTCREA-0077,,,PHARMACY,750.00,1400.00,26,5,0,7.5,TRUE
AKTIV MEN'S HEALTH,AKTIVMENSHEA-0078,,,PHARMACY,4586.57,6500.00,5,5,0,7.5,TRUE
AKTIV OMEGA 3 JUNIOR SYR 250ML BOTTLE,AKTIVOMEGA3J-0079,,,PHARMACY,0.00,3700.00,0,5,0,7.5,TRUE
ALABUKUN POWDER 2G X 10 PACK,ALABUKUNPOWD-0080,,,PHARMACY,290.00,400.00,0,5,0,7.5,TRUE
ALBENDAZOLE 400MG KESSINGTON PACK,ALBENDAZOLE4-0081,,,PHARMACY,95.00,400.00,18,5,0,7.5,TRUE
ALBEROL 400MG TAB ALBENDAZOLE PACK,ALBEROL400MG-0082,,,PHARMACY,128.00,300.00,0,5,0,7.5,TRUE
ALDACTONE TABS 25MG X 100 SACHET,ALDACTONETAB-0083,,,PHARMACY,1905.00,2700.00,19,5,0,7.5,TRUE
ALDACTONE TABS 25MG X 20 SACHET,ALDACTONETAB-0084,,,PHARMACY,2188.00,0.00,0,5,0,7.5,TRUE
ALDOMET TABS 250MG X 60 [ENGLAN SACHET,ALDOMETTABS2-0085,,,PHARMACY,1398.33,1900.00,51,5,0,7.5,TRUE
ALEFER TABS PACK,ALEFERTABSPA-0086,,,PHARMACY,0.00,400.00,0,5,0,7.5,TRUE
ALGAFEN IBUPROFEN SYRUP 100ML BOTTLE,ALGAFENIBUPR-0087,,,PHARMACY,650.00,1000.00,29,5,0,7.5,TRUE
ALISAR CREAM 0.025% TRETINOIN TUBE,ALISARCREAM0-0088,,,PHARMACY,1600.00,2700.00,0,5,0,7.5,TRUE
ALISAR CREAM 0.05% TRETINOIN TUBE,ALISARCREAM0-0089,,,PHARMACY,1600.00,3000.00,6,5,0,7.5,TRUE
ALLEREX EYE DROPS  XML BOTTLE,ALLEREXEYEDR-0090,,,PHARMACY,965.00,1200.00,0,5,0,7.5,TRUE
ALLERGIN SYR 60ML BOTTLE,ALLERGINSYR6-0091,,,PHARMACY,550.00,800.00,5,5,0,7.5,TRUE
ALLGLOBIN CAPSULE X 30 PACK,ALLGLOBINCAP-0092,,,PHARMACY,2800.00,4000.00,0,5,0,7.5,TRUE
ALLGLOBIN GUMMIES,ALLGLOBINGUM-0093,,,PHARMACY,11235.00,15200.00,2,5,0,7.5,TRUE
ALLGLOBIN SYRUP 200MLS,ALLGLOBINSYR-0094,,,PHARMACY,2343.00,3100.00,3,5,0,7.5,TRUE
ALLOPURINOL 300MG (BRISTOL) TAB SACHET,ALLOPURINOL3-0095,,,PHARMACY,0.00,1800.00,0,5,0,7.5,TRUE
ALLOPURINOL 300MG MULTICHRIS BLISTER,ALLOPURINOL3-0096,,,PHARMACY,800.00,1300.00,6,5,0,7.5,TRUE
ALLOPURINOL TABS 100MG TEVA BLISTER,ALLOPURINOLT-0097,,,PHARMACY,1400.00,2100.00,0,5,0,7.5,TRUE
ALLUPURINOL 100MG,ALLUPURINOL1-0098,,,PHARMACY,700.00,1000.00,8,5,0,7.5,TRUE
ALOREPAIR 5% SPRAY,ALOREPAIR5SP-0099,,,PHARMACY,6600.00,9000.00,4,5,0,7.5,TRUE
ALPENLIEBE CHEWY CHEW,ALPENLIEBECH-0100,,,CHOCOLATES,69.25,100.00,25,5,0,7.5,TRUE
ALPENLIEBE ECLAIRS,ALPENLIEBEEC-0101,,,CHOCOLATES,46.00,50.00,122,5,0,7.5,TRUE
ALPENLIEBE SWEET 3/100,ALPENLIEBESW-0102,,,CHOCOLATES,67.00,100.00,31,5,0,7.5,TRUE
ALPHABETIC X 30 CAPS JAR,ALPHABETICX3-0103,,,PHARMACY,10265.00,13900.00,0,5,0,7.5,TRUE
ALPHAGAN EYE DROPS 5ML BOTTLE,ALPHAGANEYED-0104,,,PHARMACY,0.00,2100.00,0,5,0,7.5,TRUE
ALPHAGAN UK EYE DROPS BOTTLE,ALPHAGANUKEY-0105,,,PHARMACY,10300.00,13500.00,2,5,0,7.5,TRUE
ALPHAMET 250MG TABS SACHET,ALPHAMET250M-0106,,,PHARMACY,0.00,500.00,82,5,0,7.5,TRUE
ALPHAMET 500MG   X 10 SACHET,ALPHAMET500M-0107,,,PHARMACY,350.00,500.00,5,5,0,7.5,TRUE
ALPHATEN,ALPHATEN-0108,,,PHARMACY,5565.00,7500.00,0,5,0,7.5,TRUE
ALTAA 150MG INJECTION X 3 PACK,ALTAA150MGIN-0109,,,PHARMACY,0.00,1200.00,0,5,0,7.5,TRUE
ALTADON (RISPERIDONE) 2MG X30 T BLISTER,ALTADONRISPE-0110,,,PHARMACY,0.00,500.00,0,5,0,7.5,TRUE
ALTARGO 1% TUBE,ALTARGO1TUBE-0111,,,PHARMACY,0.00,2400.00,0,5,0,7.5,TRUE
ALWAYS  MAXI THICK PINK X 1 PACK,ALWAYSMAXITH-0112,,,PHARMACY,937.50,0.00,44,5,0,7.5,TRUE
ALWAYS ULTRA PAD (VALUE PACK) PACK,ALWAYSULTRAP-0113,,,PHARMACY,1325.00,0.00,0,5,0,7.5,TRUE
ALWAYS ULTRA PAD SINGLE X 1 PACK,ALWAYSULTRAP-0114,,,PHARMACY,968.75,1200.00,30,5,0,7.5,TRUE
AMALAR TABS  X 50 BLISTER,AMALARTABSX5-0115,,,PHARMACY,385.00,600.00,119,5,0,7.5,TRUE
AMARYL TABS 2MG X 30 BLISTER,AMARYLTABS2M-0116,,,PHARMACY,2626.67,5500.00,2,5,0,7.5,TRUE
AMARYL TABS 4MG X 30 BLISTER,AMARYLTABS4M-0117,,,PHARMACY,8775.00,11800.00,0,5,0,7.5,TRUE
AMATEM FORTE SOFTGEL X6 PACK,8906044917507,,,PHARMACY,2150.00,3000.00,730,5,0,7.5,TRUE
AMATEM FORTE X6 PACK,AMATEMFORTEX-0119,,,PHARMACY,1300.00,1800.00,0,5,0,7.5,TRUE
AMATEM SOFTGEL X12 PACK,AMATEMSOFTGE-0120,,,PHARMACY,1400.00,1900.00,23,5,0,7.5,TRUE
AMATEM SOFTGEL X18 PACK,AMATEMSOFTGE-0121,,,PHARMACY,1450.00,2000.00,26,5,0,7.5,TRUE
AMATEM SOFTGEL X24 PACK,AMATEMSOFTGE-0122,,,PHARMACY,1550.00,2100.00,50,5,0,7.5,TRUE
AMATEMETA INJ 80MG PACK,AMATEMETAINJ-0123,,,PHARMACY,260.00,400.00,0,5,0,7.5,TRUE
AMAZING DAY 600G,AMAZINGDAY60-0124,,,FOOD ITEMS,789.17,950.00,0,5,0,7.5,TRUE
AMAZING TOOTHBRUSH PCS,AMAZINGTOOTH-0125,,,PHARMACY,0.00,0.00,0,5,0,7.5,TRUE
AMBER ENERGY DRINK X 1 CAN,AMBERENERGYD-0126,,,PHARMACY,312.50,400.00,0,5,0,7.5,TRUE
AMCARD 10MG BLISTER AMLODIPINE,AMCARD10MGBL-0127,,,PHARMACY,422.50,600.00,77,5,0,7.5,TRUE
AMIDREX 2MG RISPERIDONE BLISTER,AMIDREX2MGRI-0128,,,PHARMACY,1033.33,1400.00,18,5,0,7.5,TRUE
AMINO 6000 TAB JAR N/F,AMINO6000TAB-0129,,,PHARMACY,14000.00,18200.00,2,5,0,7.5,TRUE
AMINO PEP FORTE SYR 200ML X 1 BOTTLE,AMINOPEPFORT-0130,,,PHARMACY,3425.00,4700.00,2,5,0,7.5,TRUE
AMINOGARD POWDER PER SACHET,AMINOGARDPOW-0131,,,PHARMACY,546.64,900.00,0,5,0,7.5,TRUE
AMINOGLOBIN SYR X 1 BOTTLE,AMINOGLOBINS-0132,,,PHARMACY,2995.00,4200.00,12,5,0,7.5,TRUE
AMINOPHILIN INJ 250MG X 100 AMPOULES,AMINOPHILINI-0133,,,PHARMACY,0.00,200.00,0,5,0,7.5,TRUE
AMINOPHYLLINE 100MG PER TABLETS,AMINOPHYLLIN-0134,,,PHARMACY,9.20,20.00,1000,5,0,7.5,TRUE
AMITRIPTYLINE (ACTAVIS)  TABS 2 BLISTER,AMITRIPTYLIN-0135,,,PHARMACY,0.00,600.00,0,5,0,7.5,TRUE
AMITRIPTYLINE (ESPEN) TAB 25MG,AMITRIPTYLIN-0136,,,PHARMACY,350.00,450.00,0,5,0,7.5,TRUE
AMITRIPTYLINE (MULTICOY)  TABS BLISTER,AMITRIPTYLIN-0137,,,PHARMACY,0.00,400.00,0,5,0,7.5,TRUE
AMITRIPTYLINE 25MG X 10 PACK (CHEZ ),AMITRIPTYLIN-0138,,,PHARMACY,500.00,700.00,1,5,0,7.5,TRUE
AMITRIPTYLINE TABS 25MG X 500 [ PCS,AMITRIPTYLIN-0139,,,PHARMACY,20.56,40.00,2931,5,0,7.5,TRUE
AMITRIPTYLLINE 25MG X28 KAKAKI SACHET,AMITRIPTYLLI-0140,,,PHARMACY,400.00,500.00,20,5,0,7.5,TRUE
AMITRYPTILLINE(TEVA) TABS 25MG SACHET,AMITRYPTILLI-0141,,,PHARMACY,1500.00,2300.00,2,5,0,7.5,TRUE
AMLODIPINE 10MG BERLIN BLISTER,AMLODIPINE10-0142,,,PHARMACY,150.00,300.00,0,5,0,7.5,TRUE
AMLODIPINE 10MG BLISTER NORAPINE,AMLODIPINE10-0143,,,PHARMACY,180.00,400.00,185,5,0,7.5,TRUE
AMLODIPINE 10MG EXLOPINE,AMLODIPINE10-0144,,,PHARMACY,300.00,400.00,0,5,0,7.5,TRUE
AMLODIPINE 10MG MIRAL BLISTER,AMLODIPINE10-0145,,,PHARMACY,0.00,300.00,0,5,0,7.5,TRUE
AMLODIPINE 10MG PHARMAMAX BLISTER,AMLODIPINE10-0146,,,PHARMACY,457.50,700.00,446,5,0,7.5,TRUE
AMLODIPINE 10MG POCCO BLISTER,AMLODIPINE10-0147,,,PHARMACY,425.00,600.00,0,5,0,7.5,TRUE
AMLODIPINE 10MG TEVA BLISTER,AMLODIPINE10-0148,,,PHARMACY,900.00,1400.00,45,5,0,7.5,TRUE
AMLODIPINE 10MG VERST BLISTER,AMLODIPINE10-0149,,,PHARMACY,150.00,400.00,0,5,0,7.5,TRUE
AMLODIPINE 5MG PHARMAMAX BLISTER,AMLODIPINE5M-0150,,,PHARMACY,437.00,600.00,160,5,0,7.5,TRUE
AMLODIPINE 5MG POCCO BLISTER,AMLODIPINE5M-0151,,,PHARMACY,350.00,500.00,0,5,0,7.5,TRUE
AMLODIPINE 5MG TEVA BLISTER,AMLODIPINE5M-0152,,,PHARMACY,750.00,1200.00,21,5,0,7.5,TRUE
AMLODIPINE 5MG VERST BLISTER,AMLODIPINE5M-0153,,,PHARMACY,225.00,400.00,60,5,0,7.5,TRUE
AMLONG TABS 10MG X 30 SACHET,AMLONGTABS10-0154,,,PHARMACY,366.67,600.00,34,5,0,7.5,TRUE
AMLONG TABS 5MG X 30 SACHET,AMLONGTABS5M-0155,,,PHARMACY,330.00,500.00,0,5,0,7.5,TRUE
AMLOVAR TABS 10MG X 100 SACHET,AMLOVARTABS1-0156,,,PHARMACY,529.00,800.00,54,5,0,7.5,TRUE
AMLOVAR TABS 5MG X 100 SACHET,AMLOVARTABS5-0157,,,PHARMACY,386.00,600.00,25,5,0,7.5,TRUE
AMOKSIKLAV INJ   1.2G VIALS,AMOKSIKLAVIN-0158,,,PHARMACY,0.00,1200.00,0,5,0,7.5,TRUE
AMOKSIKLAV INJ 600MG VIALS,AMOKSIKLAVIN-0159,,,PHARMACY,0.00,800.00,0,5,0,7.5,TRUE
AMOKSIKLAV SUSP 457MG BOTTLE,AMOKSIKLAVSU-0160,,,PHARMACY,6600.00,8900.00,1,5,0,7.5,TRUE
AMOKSIKLAV SYR 100ML   312MG X BOTTLE,AMOKSIKLAVSY-0161,,,PHARMACY,6295.00,8500.00,4,5,0,7.5,TRUE
AMOKSIKLAV SYR 100ML 156MG X 1 BOTTLE,AMOKSIKLAVSY-0162,,,PHARMACY,6100.00,8200.00,3,5,0,7.5,TRUE
AMOKSIKLAV X 14 TABS 1G PACK,AMOKSIKLAVX1-0163,,,PHARMACY,6500.00,10000.00,2,5,0,7.5,TRUE
AMOKSIKLAV X 14 TABS 375MG PACK,AMOKSIKLAVX1-0164,,,PHARMACY,0.00,1700.00,0,5,0,7.5,TRUE
AMOKSIKLAV X 14 TABS 625MG PACK,AMOKSIKLAVX1-0165,,,PHARMACY,4990.00,8500.00,11,5,0,7.5,TRUE
AMONEX 500MG X100,AMONEX500MGX-0166,,,PHARMACY,242.00,350.00,6,5,0,7.5,TRUE
AMONO MULTIVITAMIN CAPS SACHET,AMONOMULTIVI-0167,,,PHARMACY,0.00,250.00,0,5,0,7.5,TRUE
AMOXICILLIN CAP 250MG BLISTER,AMOXICILLINC-0168,,,PHARMACY,280.00,500.00,145,5,0,7.5,TRUE
AMOXICILLIN CAP 500MG BLISTER,AMOXICILLINC-0169,,,PHARMACY,430.00,700.00,167,5,0,7.5,TRUE
AMOXICILLIN INJ 500MG MULTICOY VIALS,AMOXICILLINI-0170,,,PHARMACY,300.00,700.00,0,5,0,7.5,TRUE
AMOXICILLIN SUSP TUYIL BOTTLE,AMOXICILLINS-0171,,,PHARMACY,700.00,1000.00,12,5,0,7.5,TRUE
AMOXIL CAP 250MG BEECHAM BLISTER,AMOXILCAP250-0172,,,PHARMACY,1005.00,2100.00,82,5,0,7.5,TRUE
AMOXIL CAP 500MG BEECHAM BLISTER,AMOXILCAP500-0173,,,PHARMACY,1772.00,2500.00,0,5,0,7.5,TRUE
AMOXIL SUSP 125MG BEECHAM BOTTLE,AMOXILSUSP12-0174,,,PHARMACY,5000.00,6800.00,0,5,0,7.5,TRUE
AMPICILLIN  250MG CAP X 100 (MU BLISTER,AMPICILLIN25-0175,,,PHARMACY,250.00,400.00,114,5,0,7.5,TRUE
AMPICILLIN (TUYIL)  SYR 100ML BOTTLE,AMPICILLINTU-0176,,,PHARMACY,380.00,500.00,0,5,0,7.5,TRUE
AMPICILLIN 500MG BLISTER,AMPICILLIN50-0177,,,PHARMACY,482.00,700.00,0,5,0,7.5,TRUE
AMPICLOX 500MG CAP UNBRANDED,AMPICLOX500M-0178,,,PHARMACY,400.00,700.00,115,5,0,7.5,TRUE
AMPICLOX BEECHAM CAP BLISTER,AMPICLOXBEEC-0179,,,PHARMACY,2065.00,3500.00,95,5,0,7.5,TRUE
AMPICLOX BEECHAM DROPS BOTTLE,AMPICLOXBEEC-0180,,,PHARMACY,3850.00,7000.00,0,5,0,7.5,TRUE
AMPICLOX BEECHAM SUSP BOTTLE,AMPICLOXBEEC-0181,,,PHARMACY,4560.00,7000.00,6,5,0,7.5,TRUE
AMSTEL MALTA (CAN) X 1 BOTTLE,AMSTELMALTAC-0182,,,DRINKS AND BEVERAGES,425.00,550.00,24,5,0,7.5,TRUE
AMSTEL MALTA 35CL(PET) X 24 CAN,AMSTELMALTA3-0183,,,DRINKS AND BEVERAGES,0.00,150.00,0,5,0,7.5,TRUE
AMYVIL 25MG TAB BLISTER AMITRIPYTLINE,AMYVIL25MGTA-0184,,,PHARMACY,671.00,1000.00,19,5,0,7.5,TRUE
ANACIN TABS 300MG X 144 FOIL STRIP,ANACINTABS30-0185,,,PHARMACY,15.00,40.00,652,5,0,7.5,TRUE
ANAFRANIL 75MG BLISTER,ANAFRANIL75M-0186,,,PHARMACY,0.00,3500.00,0,5,0,7.5,TRUE
ANAFRANIL TABS 25MG X 30 BLISTER,ANAFRANILTAB-0187,,,PHARMACY,0.00,2000.00,0,5,0,7.5,TRUE
ANAFRANIL X 50 TABS 25MG BLISTER,ANAFRANILX50-0188,,,PHARMACY,0.00,2000.00,0,5,0,7.5,TRUE
ANATE 7-13 YRS POWDER PACK,ANATE713YRSP-0189,,,PHARMACY,0.00,600.00,0,5,0,7.5,TRUE
ANATE ADULT PACK,ANATEADULTPA-0190,,,PHARMACY,900.00,1500.00,0,5,0,7.5,TRUE
AND BP MACHINE UA-651   X 1 PACK,ANDBPMACHINE-0191,,,PHARMACY,0.00,17500.00,0,5,0,7.5,TRUE
AND BP MACHINE UA-651SL BOX,ANDBPMACHINE-0192,,,PHARMACY,0.00,21500.00,0,5,0,7.5,TRUE
ANDON BP MACHINE PACK,ANDONBPMACHI-0193,,,PHARMACY,30500.00,39700.00,0,5,0,7.5,TRUE
ANDRENALINE INJ   2ML AMPOULES,ANDRENALINEI-0194,,,PHARMACY,0.00,100.00,8,5,0,7.5,TRUE
ANDREWS LIVER SALTS POWDER  X 5 SACHET,ANDREWSLIVER-0195,,,PHARMACY,0.00,100.00,0,5,0,7.5,TRUE
ANGEL ADULT DIAPER PACK,ANGELADULTDI-0196,,,HOUSEHOLD ITEMS,4250.00,5500.00,0,5,0,7.5,TRUE
ANGEL BABY BATH X 1 JAR,ANGELBABYBAT-0197,,,HOUSEHOLD ITEMS,0.00,1100.00,0,5,0,7.5,TRUE
ANGEL BABY DIAPER JUMBO PACK,ANGELBABYDIA-0198,,,HOUSEHOLD ITEMS,0.00,7400.00,0,5,0,7.5,TRUE
ANGEL BABY DIAPER(ECONOMY PACK) PACK,ANGELBABYDIA-0199,,,HOUSEHOLD ITEMS,0.00,4000.00,0,5,0,7.5,TRUE
