FADOB PHARMACY & STORES
Stock Status
From 1-1-2026 to 23-2-2026
All Items,All MC
Item Details,Parent Group,Unit,Op.Qty,Op.Amt.,Purc.,Amt.In,Qty In(Others),Amt.In(Others),Sale,Amt.Out,Qty.Out (Others),Amt.Out(Others),Cl. Qty,Cl. Amt.
"ACCU-CHEK MACHINE (NO STRIP) PACK",PHARMACY,Pcs.,0,0.00,4,"78,000.00",0,0.00,3,"77,100.00",0,0.00,1,"19,500.00"
"ACCU-CHEK STRIP PACK",PHARMACY,Pcs.,34,"451,420.34",15,"195,000.00",0,0.00,8,"144,000.00",0,0.00,41,"540,733.03"
"ACEL PLUS TAB PACK",PHARMACY,Pcs.,7,"3,194.56",20,"9,000.00",0,0.00,18,"18,000.00",0,0.00,9,"4,059.56"
"ACEPOL SUSP 100ML X 1 BOTTLE",PHARMACY,Pcs.,-16,"-10,910.00",0,0.00,0,0.00,4,"3,200.00",0,0.00,-20,"-14,110.00"
"ACER TABLET (LEVOFLOXACIN 500MG) X10",PHARMACY,Pcs.,10,"11,950.00",0,0.00,0,0.00,10,"17,000.00",0,0.00,0,0.00
"ACETAZOLAMIDE 250MG  BLISTER (MANFES)",PHARMACY,Pcs.,10,"7,666.67",9,"6,900.00",0,0.00,7,"7,000.00",0,0.00,12,"9,200.00"
"ACETAZOLAMIDE(MULTICOY) TABS 25 BLISTER",PHARMACY,Pcs.,-4,"-2,233.33",0,0.00,0,0.00,0,0.00,0,0.00,-4,"-2,233.33"
"ACHOL CARE PACK",PHARMACY,Pcs.,1,"10,500.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"10,500.00"
"ACHOL SAFE PACK",PHARMACY,Pcs.,0,0.00,0,0.00,0,0.00,1,"14,200.00",0,0.00,-1,"-14,200.00"
"ACICLOVIR 400MG TAB BLISTER",PHARMACY,Pcs.,2,"3,750.00",8,"15,600.00",0,0.00,7,"19,600.00",0,0.00,3,"5,805.00"
"ACICLOVIR 5% CREAM POCCO",PHARMACY,Pcs.,1,800.00,0,0.00,0,0.00,0,0.00,0,0.00,1,800.00
"ACNEAWAY CREAM 20G TUBE",PHARMACY,Pcs.,12,"7,960.98",0,0.00,0,0.00,4,"3,600.00",0,0.00,8,"5,307.32"
"ACTIFED DRY COUGH",PHARMACY,Pcs.,-1,"-5,540.00",0,0.00,0,0.00,0,0.00,0,0.00,-1,"-5,540.00"
"ACTIFED SYR  60ML BOTTLE",PHARMACY,Pcs.,-3,"-2,382.33",0,0.00,0,0.00,0,0.00,0,0.00,-3,"-2,382.33"
"ACTIFED TAB PACK",PHARMACY,Pcs.,-5,"-8,500.00",0,0.00,0,0.00,0,0.00,0,0.00,-5,"-8,500.00"
"ACTIFED TABS  PER TABLET",PHARMACY,Pcs.,-58,"-15,516.67",0,0.00,0,0.00,0,0.00,0,0.00,-58,"-15,516.67"
"ACTIFIZZ VITC + ZINC D3",PHARMACY,Pcs.,1,"2,300.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"2,300.00"
"ACTIVO WOMAN",PHARMACY,Pcs.,2,"5,000.00",2,"12,000.00",0,0.00,1,"8,100.00",0,0.00,3,"12,750.00"
"ACTRAPID INJ 100IU VIALS",PHARMACY,Pcs.,4,"57,480.00",0,0.00,0,0.00,1,"5,000.00",0,0.00,3,"43,110.00"
"ACYCOR PLUS TABS PACK",PHARMACY,Pcs.,16,"11,101.52",40,"27,600.00",0,0.00,27,"28,200.00",0,0.00,29,"20,049.58"
"ACYCOR TABS 100MG PACK",PHARMACY,Pcs.,16,"9,110.56",20,"11,400.00",0,0.00,16,"12,800.00",0,0.00,20,"11,396.31"
"ACYVIR EYE OINTMENT 5G ACICLOVIR 3%",PHARMACY,Pcs.,1,"4,300.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"4,300.00"
"ADAMS DESIRE X 15 TABS PACK",PHARMACY,Pcs.,-1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,0.00
"ADAY KIT TABS X 4 PACK",PHARMACY,Pcs.,61,"124,258.52",30,"60,000.00",0,0.00,33,"99,000.00",0,0.00,58,"117,108.36"
"ADDYZOA X 20 CAPS PACK",PHARMACY,Pcs.,20,"160,171.50",8,"63,225.00",0,0.00,6,"64,600.00",0,0.00,22,"175,483.91"
"AD-FLUCONAZOLE 150MG TABS PACK",PHARMACY,Pcs.,-15,"-15,300.00",0,0.00,0,0.00,0,0.00,0,0.00,-15,"-15,300.00"
"ADMICIN LEVOFLOXACIN 500MG",PHARMACY,Pcs.,2,"1,600.00",0,0.00,0,0.00,0,0.00,0,0.00,2,"1,600.00"
"ADMINISTRATION BLOCK",PHARMACY,Pcs.,-34,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-34,0.00
"ADMIRE WAFFERS CHOCOLATE PIECES",CHOCOLATES,Pcs.,17,"6,114.03",0,0.00,0,0.00,0,0.00,0,0.00,17,"6,114.03"
"ADRENALINE INJ AMPOULE",PHARMACY,Pcs.,26,"1,248.00",0,0.00,0,0.00,0,0.00,0,0.00,26,"1,248.00"
"ADUN PLANTAIN CHIPS B/S",FOOD ITEMS,Pcs.,6,"13,500.00",0,0.00,0,0.00,0,0.00,0,0.00,6,"13,500.00"
"ADVANCE COLLAGEN X160 N/F",PHARMACY,Pcs.,1,"10,000.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"10,000.00"
"ADVANT TABS 16MG X 28 BLISTER",PHARMACY,Pcs.,10,"11,691.44",16,"18,800.00",0,0.00,16,"25,600.00",0,0.00,10,"11,734.03"
"ADVANT TABS 8MG X 14 BLISTER",PHARMACY,Pcs.,20,"20,923.25",0,0.00,0,0.00,1,"1,800.00",0,0.00,19,"19,877.09"
"AEROLINE INHALER",PHARMACY,Pcs.,14,"37,198.49",20,"52,700.00",0,0.00,14,"56,000.00",0,0.00,20,"52,509.05"
"AFABETA (ARTEETHER) 150MG PACK",PHARMACY,Pack.,2,"3,870.00",0,0.00,0,0.00,0,0.00,0,0.00,2,"3,870.00"
"AFRABVITE DROPS 15ML BOTTLE",PHARMACY,Pcs.,22,"13,972.84",0,0.00,0,0.00,8,"7,200.00",0,0.00,14,"8,891.80"
"AFRABVITE SYR 100ML BOTTLE",PHARMACY,Pcs.,30,"21,098.83",10,"6,980.00",0,0.00,15,"15,000.00",0,0.00,25,"17,531.46"
"AFRICURE COD LIVER OIL 1000MG C SACHET",PHARMACY,Pcs.,3,"2,850.00",0,0.00,0,0.00,0,0.00,0,0.00,3,"2,850.00"
"AGEWELL SLIMFIT CAP WOMAN X 60 PACK",PHARMACY,Pcs.,-1,"-7,900.00",0,0.00,0,0.00,0,0.00,0,0.00,-1,"-7,900.00"
"AGEWELL SLIMFIT MEN X120",PHARMACY,Pcs.,1,"9,350.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"9,350.00"
"AGEWELL SLIMFIT MEN X60",PHARMACY,Pcs.,1,"4,450.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"4,450.00"
"AGEWELL VIRGIN COCONUT X60",PHARMACY,Pack.,1,"10,750.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"10,750.00"
"AGNESIA BABY SOAP 90G PACK",PHARMACY,Pcs.,8,"2,666.67",0,0.00,0,0.00,0,0.00,0,0.00,8,"2,666.67"
"AKSOCORT CREAM 20G HYDROCORTISONE",PHARMACY,Pcs.,26,"18,619.35",0,0.00,0,0.00,7,"9,800.00",0,0.00,19,"13,606.44"
"AKTIV MEN'S HEALTH",PHARMACY,Pcs.,5,"22,932.86",0,0.00,0,0.00,0,0.00,0,0.00,5,"22,932.86"
"ALABUKUN POWDER 2G X 10 PACK",PHARMACY,Pcs.,-56,"-21,850.00",100,"29,000.00",0,0.00,98,"39,200.00",0,0.00,-54,"-20,720.00"
"ALBENDAZOLE 400MG KESSINGTON PACK",PHARMACY,Pcs.,18,"1,662.87",0,0.00,0,0.00,24,"9,300.00",0,0.00,-6,"-2,400.00"
"ALBEROL 400MG TAB ALBENDAZOLE PACK",PHARMACY,Pcs.,-2,-600.00,0,0.00,0,0.00,0,0.00,0,0.00,-2,-600.00
"ALDACTONE TABS 25MG X 100 SACHET",PHARMACY,Pcs.,19,"37,948.47",20,"38,100.00",0,0.00,9,"24,300.00",0,0.00,30,"58,072.88"
"ALDOMET TABS 250MG X 60 [ENGLAN SACHET",PHARMACY,Pcs.,51,"69,760.10",60,"83,900.00",0,0.00,60,"114,000.00",0,0.00,51,"71,133.98"
"ALGAFEN IBUPROFEN SYRUP 100ML BOTTLE",PHARMACY,Pcs.,29,"14,003.03",0,0.00,0,0.00,0,0.00,0,0.00,29,"14,003.03"
"ALISAR CREAM 0.025% TRETINOIN TUBE",PHARMACY,Pcs.,0,0.00,0,0.00,0,0.00,1,"2,700.00",0,0.00,-1,"-2,700.00"
"ALISAR CREAM 0.05% TRETINOIN TUBE",PHARMACY,Pcs.,6,"10,082.14",0,0.00,0,0.00,2,"6,000.00",0,0.00,4,"6,721.42"
"ALLEREX EYE DROPS  XML BOTTLE",PHARMACY,Pcs.,-1,"-1,200.00",0,0.00,0,0.00,0,0.00,0,0.00,-1,"-1,200.00"
"ALLERGIN SYR 60ML BOTTLE",PHARMACY,Pcs.,5,"3,000.00",10,"5,500.00",0,0.00,13,"10,400.00",0,0.00,2,"1,133.33"
"ALLGLOBIN CAPSULE X 30 PACK",PHARMACY,Pcs.,-1,"-2,800.00",0,0.00,0,0.00,0,0.00,0,0.00,-1,"-2,800.00"
"ALLGLOBIN GUMMIES",PHARMACY,Pcs.,2,"22,470.00",0,0.00,0,0.00,0,0.00,0,0.00,2,"22,470.00"
"ALLGLOBIN SYRUP 200MLS",PHARMACY,Pcs.,3,"7,029.00",0,0.00,0,0.00,0,0.00,0,0.00,3,"7,029.00"
"ALLOPURINOL 300MG MULTICHRIS BLISTER",PHARMACY,Pcs.,6,"4,900.00",0,0.00,0,0.00,1,"1,300.00",0,0.00,5,"4,083.33"
"ALLOPURINOL TABS 100MG TEVA BLISTER",PHARMACY,Pcs.,-6,"-11,200.00",0,0.00,0,0.00,0,0.00,0,0.00,-6,"-11,200.00"
"ALLUPURINOL 100MG",PHARMACY,Pcs.,8,"5,600.00",0,0.00,0,0.00,0,0.00,0,0.00,8,"5,600.00"
"ALOREPAIR 5% SPRAY",PHARMACY,Pcs.,4,"24,351.11",0,0.00,0,0.00,1,"9,000.00",0,0.00,3,"18,263.33"
"ALPENLIEBE CHEWY CHEW",CHOCOLATES,Pcs.,25,"1,731.25",0,0.00,0,0.00,0,0.00,0,0.00,25,"1,731.25"
"ALPENLIEBE ECLAIRS",CHOCOLATES,Pcs.,122,"5,612.00",0,0.00,0,0.00,0,0.00,0,0.00,122,"5,612.00"
"ALPENLIEBE SWEET 3/100",CHOCOLATES,Pcs.,31,"2,077.00",0,0.00,0,0.00,0,0.00,0,0.00,31,"2,077.00"
"ALPHABETIC X 30 CAPS JAR",PHARMACY,Pcs.,0,0.00,4,"41,060.00",0,0.00,4,"55,600.00",0,0.00,0,0.00
"ALPHAGAN UK EYE DROPS BOTTLE",PHARMACY,Pcs.,2,"20,600.00",0,0.00,0,0.00,0,0.00,0,0.00,2,"20,600.00"
"ALPHAMET 250MG TABS SACHET",PHARMACY,Pcs.,82,0.00,0,0.00,0,0.00,0,0.00,0,0.00,82,0.00
"ALPHAMET 500MG   X 10 SACHET",PHARMACY,Pcs.,5,"1,750.00",0,0.00,0,0.00,0,0.00,0,0.00,5,"1,750.00"
"ALPHATEN",PHARMACY,Pcs.,-1,"-7,500.00",0,0.00,0,0.00,0,0.00,0,0.00,-1,"-7,500.00"
"ALTAA 150MG INJECTION X 3 PACK",PHARMACY,Pcs.,-1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,0.00
"ALTADON (RISPERIDONE) 2MG X30 T BLISTER",PHARMACY,Pcs.,-1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,0.00
"ALWAYS  MAXI THICK PINK X 1 PACK",PHARMACY,Pcs.,44,"41,250.00",0,0.00,0,0.00,0,0.00,0,0.00,44,"41,250.00"
"ALWAYS ULTRA PAD (VALUE PACK) PACK",PHARMACY,Pcs.,-32,"-45,150.00",0,0.00,0,0.00,0,0.00,0,0.00,-32,"-45,150.00"
"ALWAYS ULTRA PAD SINGLE X 1 PACK",PHARMACY,Pcs.,30,"30,325.01",32,"31,000.00",0,0.00,18,"21,600.00",0,0.00,44,"43,291.61"
"AMALAR TABS  X 50 BLISTER",PHARMACY,Pcs.,119,"45,011.63",0,0.00,0,0.00,23,"13,800.00",0,0.00,96,"36,311.88"
"AMARYL TABS 2MG X 30 BLISTER",PHARMACY,Pcs.,2,"5,056.33",0,0.00,0,0.00,0,0.00,0,0.00,2,"5,056.33"
"AMARYL TABS 4MG X 30 BLISTER",PHARMACY,Pcs.,-3,"-32,375.00",0,0.00,0,0.00,0,0.00,0,0.00,-3,"-32,375.00"
"AMATEM FORTE SOFTGEL X6 PACK",PHARMACY,Pcs.,730,"1,541,222.65",600,"1,230,000.00",0,0.00,330,"990,000.00",0,0.00,"1,000","2,081,865.14"
"AMATEM FORTE X6 PACK",PHARMACY,Pcs.,-8,"-14,400.00",39,"50,700.00",0,0.00,33,"59,400.00",0,0.00,-2,"-3,600.00"
"AMATEM SOFTGEL X12 PACK",PHARMACY,Pcs.,23,"25,300.00",60,"75,000.00",0,0.00,34,"60,500.00",0,0.00,49,"59,941.06"
"AMATEM SOFTGEL X18 PACK",PHARMACY,Pcs.,26,"37,648.54",41,"59,450.00",0,0.00,38,"76,000.00",0,0.00,29,"42,036.23"
"AMATEM SOFTGEL X24 PACK",PHARMACY,Pcs.,50,"76,623.79",30,"46,500.00",0,0.00,25,"52,500.00",0,0.00,55,"84,687.73"
"AMATEMETA INJ 80MG PACK",PHARMACY,Pcs.,-8,"-2,080.00",0,0.00,0,0.00,0,0.00,0,0.00,-8,"-2,080.00"
"AMBER ENERGY DRINK X 1 CAN",PHARMACY,Pcs.,-41,"-12,812.50",0,0.00,0,0.00,0,0.00,0,0.00,-41,"-12,812.50"
"AMCARD 10MG BLISTER AMLODIPINE",PHARMACY,Pcs.,77,"28,550.00",0,0.00,0,0.00,0,0.00,0,0.00,77,"28,550.00"
"AMIDREX 2MG RISPERIDONE BLISTER",PHARMACY,Pcs.,18,"18,413.01",0,0.00,0,0.00,0,0.00,0,0.00,18,"18,413.01"
"AMINO 6000 TAB JAR N/F",PHARMACY,Pcs.,2,"28,000.00",0,0.00,0,0.00,0,0.00,0,0.00,2,"28,000.00"
"AMINO PEP FORTE SYR 200ML X 1 BOTTLE",PHARMACY,Pcs.,2,"6,800.00",6,"20,550.00",0,0.00,1,"4,700.00",0,0.00,7,"23,935.00"
"AMINOGARD POWDER PER SACHET",PHARMACY,Pcs.,-17,"-19,866.43",0,0.00,0,0.00,0,0.00,0,0.00,-17,"-19,866.43"
"AMINOGLOBIN SYR X 1 BOTTLE",PHARMACY,Pcs.,12,"36,383.87",0,0.00,0,0.00,4,"16,800.00",0,0.00,8,"24,255.91"
"AMINOPHILIN INJ 250MG X 100 AMPOULES",PHARMACY,Pcs.,-2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-2,0.00
"AMINOPHYLLINE 100MG PER TABLETS",PHARMACY,Pcs.,"1,000","9,200.00",0,0.00,0,0.00,30,600.00,0,0.00,970,"8,924.00"
"AMITRIPTYLINE (ACTAVIS)  TABS 2 BLISTER",PHARMACY,Pcs.,-9,-600.00,0,0.00,0,0.00,0,0.00,0,0.00,-9,-600.00
"AMITRIPTYLINE (ESPEN) TAB 25MG",PHARMACY,Pcs.,-1,-350.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,-350.00
"AMITRIPTYLINE (MULTICOY)  TABS BLISTER",PHARMACY,Pcs.,-5,-400.00,0,0.00,0,0.00,0,0.00,0,0.00,-5,-400.00
"AMITRIPTYLINE 25MG X 10 PACK (CHEZ )",PHARMACY,Pack.,1,500.00,0,0.00,0,0.00,0,0.00,0,0.00,1,500.00
"AMITRIPTYLINE TABS 25MG X 500 [ PCS",PHARMACY,Pcs.,"2,931","33,325.36",450,"9,250.00",0,0.00,253,"8,410.00",0,0.00,"3,128","39,593.17"
"AMITRIPTYLLINE 25MG X28 KAKAKI SACHET",PHARMACY,Pcs.,20,"8,000.00",0,0.00,0,0.00,0,0.00,0,0.00,20,"8,000.00"
"AMITRYPTILLINE(TEVA) TABS 25MG SACHET",PHARMACY,Pcs.,2,"3,000.00",10,"15,000.00",0,0.00,8,"18,400.00",0,0.00,4,"6,000.00"
"AMLODIPINE 10MG BERLIN BLISTER",PHARMACY,Pcs.,-72,"-18,900.00",0,0.00,0,0.00,0,0.00,0,0.00,-72,"-18,900.00"
"AMLODIPINE 10MG BLISTER NORAPINE",PHARMACY,Pcs.,185,"36,025.52",0,0.00,0,0.00,2,800.00,0,0.00,183,"35,636.05"
"AMLODIPINE 10MG EXLOPINE",PHARMACY,Pcs.,-11,"-4,400.00",0,0.00,0,0.00,0,0.00,0,0.00,-11,"-4,400.00"
"AMLODIPINE 10MG MIRAL BLISTER",PHARMACY,Pcs.,-6,"-1,800.00",0,0.00,0,0.00,0,0.00,0,0.00,-6,"-1,800.00"
"AMLODIPINE 10MG PHARMAMAX BLISTER",PHARMACY,Pcs.,446,"207,637.53",400,"186,750.00",0,0.00,427,"298,900.00",0,0.00,419,"194,897.21"
"AMLODIPINE 10MG POCCO BLISTER",PHARMACY,Pcs.,-36,"-19,915.00",100,"42,500.00",0,0.00,10,"6,000.00",0,0.00,54,"22,950.00"
"AMLODIPINE 10MG TEVA BLISTER",PHARMACY,Pcs.,45,"38,868.87",80,"72,000.00",0,0.00,66,"90,600.00",0,0.00,59,"52,560.36"
"AMLODIPINE 10MG VERST BLISTER",PHARMACY,Pcs.,0,0.00,40,"6,000.00",0,0.00,0,0.00,0,0.00,40,"6,000.00"
"AMLODIPINE 5MG PHARMAMAX BLISTER",PHARMACY,Pcs.,160,"67,493.04",100,"43,700.00",0,0.00,102,"61,200.00",0,0.00,158,"67,700.59"
"AMLODIPINE 5MG TEVA BLISTER",PHARMACY,Pcs.,21,"11,938.97",20,"15,000.00",0,0.00,8,"9,600.00",0,0.00,33,"21,682.57"
"AMLODIPINE 5MG VERST BLISTER",PHARMACY,Pcs.,60,"10,500.00",40,"9,000.00",0,0.00,0,0.00,0,0.00,100,"19,500.00"
"AMLONG TABS 10MG X 30 SACHET",PHARMACY,Pcs.,34,"12,466.66",0,0.00,0,0.00,36,"21,600.00",0,0.00,-2,"-1,200.00"
"AMLONG TABS 5MG X 30 SACHET",PHARMACY,Pcs.,-10,"-4,830.00",0,0.00,0,0.00,7,"3,500.00",0,0.00,-17,"-8,330.00"
"AMLOVAR TABS 10MG X 100 SACHET",PHARMACY,Pcs.,54,"28,582.57",0,0.00,0,0.00,21,"16,800.00",0,0.00,33,"17,467.14"
"AMLOVAR TABS 5MG X 100 SACHET",PHARMACY,Pcs.,25,"9,183.32",0,0.00,0,0.00,0,0.00,0,0.00,25,"9,183.32"
"AMOKSIKLAV SUSP 457MG BOTTLE",PHARMACY,Pcs.,1,"6,600.00",2,"13,200.00",0,0.00,4,"35,600.00",0,0.00,-1,"-8,900.00"
"AMOKSIKLAV SYR 100ML   312MG X BOTTLE",PHARMACY,Pcs.,4,"24,614.29",0,0.00,0,0.00,2,"17,000.00",0,0.00,2,"12,307.14"
"AMOKSIKLAV SYR 100ML 156MG X 1 BOTTLE",PHARMACY,Pcs.,3,"14,100.00",0,0.00,0,0.00,1,"8,200.00",0,0.00,2,"9,400.00"
"AMOKSIKLAV X 14 TABS 1G PACK",PHARMACY,Pcs.,2,"13,000.00",0,0.00,0,0.00,4,"40,000.00",0,0.00,-2,"-20,000.00"
"AMOKSIKLAV X 14 TABS 375MG PACK",PHARMACY,Pcs.,-2,"-1,700.00",0,0.00,0,0.00,0,0.00,0,0.00,-2,"-1,700.00"
"AMOKSIKLAV X 14 TABS 625MG PACK",PHARMACY,Pcs.,11,"62,618.26",2,"9,980.00",0,0.00,5,"42,500.00",0,0.00,8,"44,291.54"
"AMONEX 500MG X100",PHARMACY,Pcs.,6,"1,452.00",0,0.00,0,0.00,0,0.00,0,0.00,6,"1,452.00"
"AMOXICILLIN CAP 250MG BLISTER",PHARMACY,Pcs.,145,"40,838.45",0,0.00,0,0.00,27,"13,500.00",0,0.00,118,"33,234.09"
"AMOXICILLIN CAP 500MG BLISTER",PHARMACY,Pcs.,167,"73,474.94",300,"130,000.00",0,0.00,181,"126,700.00",0,0.00,286,"123,956.93"
"AMOXICILLIN INJ 500MG MULTICOY VIALS",PHARMACY,Pcs.,0,0.00,10,"3,000.00",0,0.00,9,"6,300.00",0,0.00,1,300.00
"AMOXICILLIN SUSP TUYIL BOTTLE",PHARMACY,Pcs.,12,"8,085.00",0,0.00,0,0.00,5,"5,000.00",0,0.00,7,"4,716.25"
"AMOXIL CAP 250MG BEECHAM BLISTER",PHARMACY,Pcs.,82,"112,189.44",20,"20,100.00",0,0.00,7,"14,700.00",0,0.00,95,"123,210.75"
"AMOXIL CAP 500MG BEECHAM BLISTER",PHARMACY,Pcs.,-39,"-88,764.00",80,"141,760.00",0,0.00,54,"135,000.00",0,0.00,-13,"-32,500.00"
"AMOXIL SUSP 125MG BEECHAM BOTTLE",PHARMACY,Pcs.,-10,"-52,700.00",5,"25,000.00",0,0.00,3,"20,400.00",0,0.00,-8,"-45,400.00"
"AMPICILLIN  250MG CAP X 100 (MU BLISTER",PHARMACY,Pcs.,114,"31,875.18",50,"12,500.00",0,0.00,48,"19,200.00",0,0.00,116,"30,991.34"
"AMPICILLIN (TUYIL)  SYR 100ML BOTTLE",PHARMACY,Pcs.,-16,"-6,080.00",0,0.00,0,0.00,0,0.00,0,0.00,-16,"-6,080.00"
"AMPICILLIN 500MG BLISTER",PHARMACY,Pcs.,-17,"-11,900.00",0,0.00,0,0.00,3,"2,100.00",0,0.00,-20,"-14,000.00"
"AMPICLOX 500MG CAP UNBRANDED",PHARMACY,Pcs.,115,"50,375.09",100,"40,000.00",0,0.00,58,"40,600.00",0,0.00,157,"65,217.66"
"AMPICLOX BEECHAM CAP BLISTER",PHARMACY,Pcs.,95,"196,492.26",100,"206,500.00",0,0.00,91,"318,500.00",0,0.00,104,"214,886.29"
"AMPICLOX BEECHAM DROPS BOTTLE",PHARMACY,Pcs.,-5,"-35,000.00",3,"11,550.00",0,0.00,2,"14,000.00",0,0.00,-4,"-21,700.00"
"AMPICLOX BEECHAM SUSP BOTTLE",PHARMACY,Pcs.,6,"29,880.00",0,0.00,0,0.00,0,0.00,0,0.00,6,"29,880.00"
"AMSTEL MALTA (CAN) X 1 BOTTLE",DRINKS AND BEVERAGES,Pcs.,24,"10,200.00",0,0.00,0,0.00,0,0.00,0,0.00,24,"10,200.00"
"AMSTEL MALTA 35CL(PET) X 24 CAN",DRINKS AND BEVERAGES,Pcs.,-1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,0.00
"AMYVIL 25MG TAB BLISTER AMITRIPYTLINE",PHARMACY,Pcs.,19,"9,899.83",30,"20,130.00",0,0.00,11,"11,000.00",0,0.00,38,"23,288.44"
"ANACIN TABS 300MG X 144 FOIL STRIP",PHARMACY,Pcs.,652,"7,212.17",0,0.00,0,0.00,91,"3,690.00",0,0.00,561,"6,205.55"
"ANATE ADULT PACK",PHARMACY,Pcs.,-2,"-3,000.00",0,0.00,0,0.00,1,"1,100.00",0,0.00,-3,"-4,100.00"
"ANDON BP MACHINE PACK",PHARMACY,Pcs.,-1,"-39,700.00",0,0.00,0,0.00,0,0.00,0,0.00,-1,"-39,700.00"
"ANDRENALINE INJ   2ML AMPOULES",PHARMACY,Pcs.,8,0.00,0,0.00,0,0.00,0,0.00,0,0.00,8,0.00
"ANDREWS LIVER SALTS POWDER  X 5 SACHET",PHARMACY,Pcs.,-42,"-1,600.00",0,0.00,0,0.00,0,0.00,0,0.00,-42,"-1,600.00"
"ANGEL BABY WIPES(CUP) X 1 JAR",HOUSEHOLD ITEMS,Pcs.,93,"113,425.19",42,"50,750.00",0,0.00,15,"23,500.00",0,0.00,120,"145,899.74"
"ANGEL FACIAL WIPES",HOUSEHOLD ITEMS,Pcs.,0,0.00,4,"3,400.00",0,0.00,4,"4,000.00",0,0.00,0,0.00
"ANGIZAAR 100MG X 10 SACHET",PHARMACY,Pcs.,-6,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-6,0.00
"ANGIZAAR TABS 50MG X 30 BLISTER",PHARMACY,Pcs.,2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,0.00
"ANKLE SUPPORT (SAMVINE) PACK",PHARMACY,Pcs.,-1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,0.00
"ANNTHROMYCIN TABS 500MG X 10 PACK",PHARMACY,Pcs.,-2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-2,0.00
