FADOB PHARMACY & STORES
List of Items
Name,Alias,Group Name,Op. Amount,Op. Stock(Main),Sale Price,Purc. Price
ACICLOVIR 5% CREAM POCCO,,PHARMACY,800.00,1,"2,000.00",800.00
ACNEAWAY CREAM 20G TUBE,,PHARMACY,"7,960.98",12,900.00,700.00
ACRETIN 0.05% CREAM 30G TUBE,,PHARMACY,0.00,0,"10,200.00","7,790.00"
ACTIFED DRY COUGH,,PHARMACY,"-5,540.00",-1,"7,100.00","5,540.00"
ACTIFED SYR  60ML BOTTLE,,PHARMACY,"-2,382.33",-3,"1,100.00",794.11
ACTIFED TAB PACK,,PHARMACY,"-8,500.00",-5,"9,000.00","1,700.00"
ACTIFED TABS  PER TABLET,,PHARMACY,"-15,516.67",-58,750.00,141.67
ACTIFIZZ VITC + ZINC D3,5060501060588,PHARMACY,"2,300.00",1,"3,000.00","2,300.00"
ACTIVE MAN SPRAY,,COSMETICS,0.00,0,"3,800.00",0.00
ACTIVE WOMAN SPRAY,,HOUSEHOLD ITEMS,0.00,0,"3,800.00",0.00
ACTIVO WOMAN,,PHARMACY,"5,000.00",2,"8,100.00","6,000.00"
ACTRAPID INJ 100IU VIALS,,PHARMACY,"57,480.00",4,"19,200.00","14,200.00"
ACYCOR PLUS TABS PACK,,PHARMACY,"11,101.52",16,"1,000.00",710.00
ACYCOR TABS 100MG PACK,,PHARMACY,"9,110.56",16,800.00,570.00
ACYVIR EYE OINTMENT 5G ACICLOVIR 3%,,PHARMACY,"4,300.00",1,"5,800.00","4,300.00"
ADAMS DESIRE X 15 TABS PACK,,PHARMACY,0.00,-1,"2,500.00",0.00
ADAMS DESIRE X 30 TABS JAR,,PHARMACY,0.00,0,"22,100.00","16,350.00"
ADAMS DESIRE X 60 CAPS JAR,,PHARMACY,0.00,0,"27,200.00","20,100.00"
ADAY KIT TABS X 4 PACK,,PHARMACY,"124,258.52",61,"3,000.00","2,000.00"
ADDYZOA X 20 CAPS PACK,,PHARMACY,"160,171.50",20,"11,000.00","8,025.00"
AD-FLUCONAZOLE 150MG TABS PACK,,PHARMACY,"-15,300.00",-15,"1,300.00",450.00
ADJUSTABLE ARMSLING X 1 PACK,,PHARMACY,0.00,0,"2,700.00",0.00
ADMICIN LEVOFLOXACIN 500MG,,PHARMACY,"1,600.00",2,"1,500.00",800.00
ADMINISTRATION BLOCK,,PHARMACY,0.00,-34,500.00,0.00
ADMIRE WAFFERS CHOCOLATE PIECES,,CHOCOLATES,"6,114.03",17,500.00,375.00
ADRENALINE INJ,,PHARMACY,0.00,0,0.00,0.00
ADRENALINE INJ AMPOULE,,PHARMACY,"1,248.00",26,100.00,48.00
ADUN PLANTAIN CHIPS B/S,,FOOD ITEMS,"13,500.00",6,"2,600.00","2,250.00"
ADVANCE COLLAGEN X160 N/F,,PHARMACY,"10,000.00",1,"160,000.00","10,000.00"
ADVANT TABS 16MG X 28 BLISTER,,PHARMACY,"11,691.44",10,"1,600.00","1,175.00"
ADVANT TABS 8MG X 14 BLISTER,,PHARMACY,"20,923.25",20,"1,800.00","1,025.00"
AEROLINE INHALER,,PHARMACY,"37,198.49",14,"4,000.00","2,570.00"
AFABETA (ARTEETHER) 150MG PACK,,PHARMACY,"3,870.00",2,"2,600.00","1,935.00"
AFM-T EYE DROPS 0.1% 5ML BOTTLE,,PHARMACY,0.00,0,"2,100.00","1,413.33"
AFRABVITE DROPS 15ML BOTTLE,,PHARMACY,"13,972.84",22,900.00,635.00
AFRABVITE SYR 100ML BOTTLE,,PHARMACY,"21,098.83",30,"1,000.00",698.00
AFRICURE COD LIVER OIL 1000MG C SACHET,,PHARMACY,"2,850.00",3,"1,300.00",950.00
AGEWELL SLIMFIT CAP WOMAN X 60 PACK,,PHARMACY,"-7,900.00",-1,"7,900.00","6,100.00"
AGEWELL SLIMFIT MEN X120,,PHARMACY,"9,350.00",1,"12,700.00","9,350.00"
AGEWELL SLIMFIT MEN X60,,PHARMACY,"4,450.00",1,"5,600.00","4,450.00"
AGEWELL VIRGIN COCONUT X60,,PHARMACY,"10,750.00",1,"14,900.00","11,000.00"
AGNESIA  DUSTING  POWDER  300G TIN,,HOUSEHOLD ITEMS,0.00,0,"4,600.00","4,000.00"
AGNESIA  DUSTING POWDER 100G TIN,,HOUSEHOLD ITEMS,0.00,0,"2,500.00","1,962.48"
AGNESIA BABY SOAP 90G PACK,,PHARMACY,"2,666.67",8,600.00,333.33
AIR HEADS 15G FOIL STRIP,,PHARMACY,0.00,0,100.00,0.00
AKSOCORT CREAM 20G HYDROCORTISONE,,PHARMACY,"18,619.35",26,"1,400.00",750.00
AKTIV MEN'S HEALTH,,PHARMACY,"22,932.86",5,"6,500.00","4,586.57"
AKTIV OMEGA 3 JUNIOR SYR 250ML BOTTLE,,PHARMACY,0.00,0,"3,700.00",0.00
ALABUKUN POWDER 2G X 10 PACK,,PHARMACY,"-21,850.00",-56,400.00,290.00
ALBENDAZOLE 400MG KESSINGTON PACK,,PHARMACY,"1,662.87",18,400.00,95.00
ALBEROL 400MG TAB ALBENDAZOLE PACK,,PHARMACY,-600.00,-2,300.00,128.00
ALDACTONE TABS 25MG X 100 SACHET,,PHARMACY,"37,948.47",19,"2,700.00","1,905.00"
ALDACTONE TABS 25MG X 20 SACHET,,PHARMACY,0.00,0,0.00,"2,188.00"
ALDOMET TABS 250MG X 60 [ENGLAN SACHET,,PHARMACY,"69,760.10",51,"1,900.00","1,398.33"
ALEFER TABS PACK,,PHARMACY,0.00,0,400.00,0.00
ALGAFEN IBUPROFEN SYRUP 100ML BOTTLE,,PHARMACY,"14,003.03",29,"1,000.00",650.00
ALISAR CREAM 0.025% TRETINOIN TUBE,,PHARMACY,0.00,0,"2,700.00","1,600.00"
ALISAR CREAM 0.05% TRETINOIN TUBE,,PHARMACY,"10,082.14",6,"3,000.00","1,600.00"
ALLEREX EYE DROPS  XML BOTTLE,,PHARMACY,"-1,200.00",-1,"1,200.00",965.00
ALLERGIN SYR 60ML BOTTLE,,PHARMACY,"3,000.00",5,800.00,550.00
ALLGLOBIN CAPSULE X 30 PACK,,PHARMACY,"-2,800.00",-1,"4,000.00","2,800.00"
ALLGLOBIN GUMMIES,,PHARMACY,"22,470.00",2,"15,200.00","11,235.00"
ALLGLOBIN SYRUP 200MLS,,PHARMACY,"7,029.00",3,"3,100.00","2,343.00"
ALLOPURINOL 300MG (BRISTOL) TAB SACHET,,PHARMACY,0.00,0,"1,800.00",0.00
ALLOPURINOL 300MG MULTICHRIS BLISTER,,PHARMACY,"4,900.00",6,"1,300.00",800.00
ALLOPURINOL TABS 100MG TEVA BLISTER,,PHARMACY,"-11,200.00",-6,"2,100.00","1,400.00"
ALLUPURINOL 100MG,,PHARMACY,"5,600.00",8,"1,000.00",700.00
ALOREPAIR 5% SPRAY,,PHARMACY,"24,351.11",4,"9,000.00","6,600.00"
ALPENLIEBE CHEWY CHEW,,CHOCOLATES,"1,731.25",25,100.00,69.25
ALPENLIEBE ECLAIRS,,CHOCOLATES,"5,612.00",122,50.00,46.00
ALPENLIEBE SWEET 3/100,,CHOCOLATES,"2,077.00",31,100.00,67.00
ALPHABETIC X 30 CAPS JAR,,PHARMACY,0.00,0,"13,900.00","10,265.00"
ALPHAGAN EYE DROPS 5ML BOTTLE,,PHARMACY,0.00,0,"2,100.00",0.00
ALPHAGAN UK EYE DROPS BOTTLE,,PHARMACY,"20,600.00",2,"13,500.00","10,300.00"
ALPHAMET 250MG TABS SACHET,,PHARMACY,0.00,82,500.00,0.00
ALPHAMET 500MG   X 10 SACHET,,PHARMACY,"1,750.00",5,500.00,350.00
ALPHATEN,,PHARMACY,"-7,500.00",-1,"7,500.00","5,565.00"
ALTAA 150MG INJECTION X 3 PACK,,PHARMACY,0.00,-1,"1,200.00",0.00
ALTADON (RISPERIDONE) 2MG X30 T BLISTER,,PHARMACY,0.00,-1,500.00,0.00
ALTARGO 1% TUBE,,PHARMACY,0.00,0,"2,400.00",0.00
ALWAYS  MAXI THICK PINK X 1 PACK,,PHARMACY,"41,250.00",44,0.00,937.50
ALWAYS ULTRA PAD (VALUE PACK) PACK,,PHARMACY,"-45,150.00",-32,0.00,"1,325.00"
ALWAYS ULTRA PAD SINGLE X 1 PACK,,PHARMACY,"30,325.01",30,"1,200.00",968.75
AMALAR TABS  X 50 BLISTER,,PHARMACY,"45,011.63",119,600.00,385.00
AMARYL TABS 2MG X 30 BLISTER,,PHARMACY,"5,056.33",2,"5,500.00","2,626.67"
AMARYL TABS 4MG X 30 BLISTER,,PHARMACY,"-32,375.00",-3,"11,800.00","8,775.00"
AMATEM FORTE SOFTGEL X6 PACK,8906044917507,PHARMACY,"1,541,222.65",730,"3,000.00","2,150.00"
AMATEM FORTE X6 PACK,,PHARMACY,"-14,400.00",-8,"1,800.00","1,300.00"
AMATEM SOFTGEL X12 PACK,,PHARMACY,"25,300.00",23,"1,900.00","1,400.00"
AMATEM SOFTGEL X18 PACK,,PHARMACY,"37,648.54",26,"2,000.00","1,450.00"
AMATEM SOFTGEL X24 PACK,,PHARMACY,"76,623.79",50,"2,100.00","1,550.00"
AMATEMETA INJ 80MG PACK,,PHARMACY,"-2,080.00",-8,400.00,260.00
AMAZING DAY 600G,,FOOD ITEMS,0.00,0,950.00,789.17
AMAZING TOOTHBRUSH PCS,,PHARMACY,0.00,0,0.00,0.00
AMBER ENERGY DRINK X 1 CAN,,PHARMACY,"-12,812.50",-41,400.00,312.50
AMCARD 10MG BLISTER AMLODIPINE,,PHARMACY,"28,550.00",77,600.00,422.50
AMIDREX 2MG RISPERIDONE BLISTER,,PHARMACY,"18,413.01",18,"1,400.00","1,033.33"
AMINO 6000 TAB JAR N/F,,PHARMACY,"28,000.00",2,"18,200.00","14,000.00"
AMINO PEP FORTE SYR 200ML X 1 BOTTLE,,PHARMACY,"6,800.00",2,"4,700.00","3,425.00"
AMINOGARD POWDER PER SACHET,,PHARMACY,"-19,866.43",-17,900.00,546.64
AMINOGLOBIN SYR X 1 BOTTLE,,PHARMACY,"36,383.87",12,"4,200.00","2,995.00"
AMINOPHILIN INJ 250MG X 100 AMPOULES,,PHARMACY,0.00,-2,200.00,0.00
AMINOPHYLLINE 100MG PER TABLETS,,PHARMACY,"9,200.00","1,000",20.00,9.20
AMITRIPTYLINE (ACTAVIS)  TABS 2 BLISTER,,PHARMACY,-600.00,-9,600.00,0.00
AMITRIPTYLINE (ESPEN) TAB 25MG,,PHARMACY,-350.00,-1,450.00,350.00
AMITRIPTYLINE (MULTICOY)  TABS BLISTER,,PHARMACY,-400.00,-5,400.00,0.00
AMITRIPTYLINE 25MG X 10 PACK (CHEZ ),,PHARMACY,500.00,1,700.00,500.00
AMITRIPTYLINE TABS 25MG X 500 [ PCS,,PHARMACY,"33,325.36","2,931",40.00,20.56
AMITRIPTYLLINE 25MG X28 KAKAKI SACHET,,PHARMACY,"8,000.00",20,500.00,400.00
AMITRYPTILLINE(TEVA) TABS 25MG SACHET,,PHARMACY,"3,000.00",2,"2,300.00","1,500.00"
AMLODIPINE 10MG BERLIN BLISTER,,PHARMACY,"-18,900.00",-72,300.00,150.00
AMLODIPINE 10MG BLISTER NORAPINE,,PHARMACY,"36,025.52",185,400.00,180.00
AMLODIPINE 10MG EXLOPINE,,PHARMACY,"-4,400.00",-11,400.00,300.00
AMLODIPINE 10MG MIRAL BLISTER,,PHARMACY,"-1,800.00",-6,300.00,0.00
AMLODIPINE 10MG PHARMAMAX BLISTER,,PHARMACY,"207,637.53",446,700.00,457.50
AMLODIPINE 10MG POCCO BLISTER,,PHARMACY,"-19,915.00",-36,600.00,425.00
AMLODIPINE 10MG TEVA BLISTER,,PHARMACY,"38,868.87",45,"1,400.00",900.00
AMLODIPINE 10MG VERST BLISTER,,PHARMACY,0.00,0,400.00,150.00
AMLODIPINE 5MG PHARMAMAX BLISTER,,PHARMACY,"67,493.04",160,600.00,437.00
AMLODIPINE 5MG POCCO BLISTER,,PHARMACY,0.00,0,500.00,350.00
AMLODIPINE 5MG TEVA BLISTER,,PHARMACY,"11,938.97",21,"1,200.00",750.00
AMLODIPINE 5MG VERST BLISTER,,PHARMACY,"10,500.00",60,400.00,225.00
AMLONG TABS 10MG X 30 SACHET,,PHARMACY,"12,466.66",34,600.00,366.67
AMLONG TABS 5MG X 30 SACHET,,PHARMACY,"-4,830.00",-10,500.00,330.00
AMLOVAR TABS 10MG X 100 SACHET,,PHARMACY,"28,582.57",54,800.00,529.00
AMLOVAR TABS 5MG X 100 SACHET,,PHARMACY,"9,183.32",25,600.00,386.00
AMOKSIKLAV INJ   1.2G VIALS,,PHARMACY,0.00,0,"1,200.00",0.00
AMOKSIKLAV INJ 600MG VIALS,,PHARMACY,0.00,0,800.00,0.00
AMOKSIKLAV SUSP 457MG BOTTLE,,PHARMACY,"6,600.00",1,"8,900.00","6,600.00"
AMOKSIKLAV SYR 100ML   312MG X BOTTLE,,PHARMACY,"24,614.29",4,"8,500.00","6,295.00"
AMOKSIKLAV SYR 100ML 156MG X 1 BOTTLE,,PHARMACY,"14,100.00",3,"8,200.00","6,100.00"
AMOKSIKLAV X 14 TABS 1G PACK,,PHARMACY,"13,000.00",2,"10,000.00","6,500.00"
AMOKSIKLAV X 14 TABS 375MG PACK,,PHARMACY,"-1,700.00",-2,"1,700.00",0.00
AMOKSIKLAV X 14 TABS 625MG PACK,,PHARMACY,"62,618.26",11,"8,500.00","4,990.00"
AMONEX 500MG X100,,PHARMACY,"1,452.00",6,350.00,242.00
AMONO MULTIVITAMIN CAPS SACHET,,PHARMACY,0.00,0,250.00,0.00
AMOXICILLIN CAP 250MG BLISTER,,PHARMACY,"40,838.45",145,500.00,280.00
AMOXICILLIN CAP 500MG BLISTER,,PHARMACY,"73,474.94",167,700.00,430.00
AMOXICILLIN INJ 500MG MULTICOY VIALS,,PHARMACY,0.00,0,700.00,300.00
AMOXICILLIN SUSP TUYIL BOTTLE,,PHARMACY,"8,085.00",12,"1,000.00",700.00
AMOXIL CAP 250MG BEECHAM BLISTER,,PHARMACY,"112,189.44",82,"2,100.00","1,005.00"
AMOXIL CAP 500MG BEECHAM BLISTER,,PHARMACY,"-88,764.00",-39,"2,500.00","1,772.00"
AMOXIL SUSP 125MG BEECHAM BOTTLE,,PHARMACY,"-52,700.00",-10,"6,800.00","5,000.00"
AMPICILLIN  250MG CAP X 100 (MU BLISTER,,PHARMACY,"31,875.18",114,400.00,250.00
AMPICILLIN (TUYIL)  SYR 100ML BOTTLE,,PHARMACY,"-6,080.00",-16,500.00,380.00
AMPICILLIN 500MG BLISTER,,PHARMACY,"-11,900.00",-17,700.00,482.00
AMPICLOX 500MG CAP UNBRANDED,,PHARMACY,"50,375.09",115,700.00,400.00
AMPICLOX BEECHAM CAP BLISTER,,PHARMACY,"196,492.26",95,"3,500.00","2,065.00"
AMPICLOX BEECHAM DROPS BOTTLE,,PHARMACY,"-35,000.00",-5,"7,000.00","3,850.00"
AMPICLOX BEECHAM SUSP BOTTLE,,PHARMACY,"29,880.00",6,"7,000.00","4,560.00"
AMSTEL MALTA (CAN) X 1 BOTTLE,,DRINKS AND BEVERAGES,"10,200.00",24,550.00,425.00
AMSTEL MALTA 35CL(PET) X 24 CAN,,DRINKS AND BEVERAGES,0.00,-1,150.00,0.00
AMYVIL 25MG TAB BLISTER AMITRIPYTLINE,,PHARMACY,"9,899.83",19,"1,000.00",671.00
ANACIN TABS 300MG X 144 FOIL STRIP,,PHARMACY,"7,212.17",652,40.00,15.00
ANAFRANIL 75MG BLISTER,,PHARMACY,0.00,0,"3,500.00",0.00
ANAFRANIL TABS 25MG X 30 BLISTER,,PHARMACY,0.00,0,"2,000.00",0.00
ANAFRANIL X 50 TABS 25MG BLISTER,,PHARMACY,0.00,0,"2,000.00",0.00
ANATE 7-13 YRS POWDER PACK,,PHARMACY,0.00,0,600.00,0.00
ANATE ADULT PACK,,PHARMACY,"-3,000.00",-2,"1,500.00",900.00
AND BP MACHINE UA-651   X 1 PACK,,PHARMACY,0.00,0,"17,500.00",0.00
AND BP MACHINE UA-651SL BOX,,PHARMACY,0.00,0,"21,500.00",0.00
ANDON BP MACHINE PACK,,PHARMACY,"-39,700.00",-1,"39,700.00","30,500.00"
ANDRENALINE INJ   2ML AMPOULES,,PHARMACY,0.00,8,100.00,0.00
ANDREWS LIVER SALTS POWDER  X 5 SACHET,,PHARMACY,"-1,600.00",-42,100.00,0.00
ANGEL ADULT DIAPER PACK,,HOUSEHOLD ITEMS,0.00,0,"5,500.00","4,250.00"
ANGEL BABY BATH X 1 JAR,,HOUSEHOLD ITEMS,0.00,0,"1,100.00",0.00
ANGEL BABY DIAPER JUMBO PACK,,HOUSEHOLD ITEMS,0.00,0,"7,400.00",0.00
ANGEL BABY DIAPER(ECONOMY PACK) PACK,,HOUSEHOLD ITEMS,0.00,0,"4,000.00",0.00
ANGEL BABY WIPES(CUP) X 1 JAR,,HOUSEHOLD ITEMS,"113,425.19",93,"1,500.00","1,208.33"
ANGEL FACIAL WIPES,,HOUSEHOLD ITEMS,0.00,0,"1,000.00",850.00
ANGIZAAR 100MG X 10 SACHET,,PHARMACY,0.00,-6,"1,000.00",0.00
ANGIZAAR TABS 50MG X 30 BLISTER,,PHARMACY,0.00,2,"1,400.00",0.00
ANKLE SUPPORT (SAMVINE) PACK,,PHARMACY,0.00,-1,"6,400.00",0.00
ANNTHROMYCIN TABS 500MG X 10 PACK,,PHARMACY,0.00,-2,400.00,0.00
ANOFAST GEL TUBE,,PHARMACY,"3,750.00",5,"1,200.00",750.00
ANOROL TABS  X 100 BLISTER,,PHARMACY,"20,287.58",35,900.00,580.50
ANTALGEX-T CAPS  X 20 BLISTER,,PHARMACY,"38,304.18",12,"4,400.00","3,200.00"
ANTALLERGE EYE DROPS  10ML BOTTLE,,PHARMACY,"27,689.10",21,"2,400.00","1,750.00"
ANTI RABIES INJ PACK SPEEDA,,PHARMACY,"127,427.94",15,"12,200.00","9,000.00"
ANTIMAL X 3 TABS PACK,,PHARMACY,0.00,0,50.00,0.00
ANUDOL SUPPOSITORIES PER PIECE,,PHARMACY,"3,944.48",14,500.00,275.00
ANUSOL CREAM  25G TUBE,,PHARMACY,"-5,167.25",-1,"9,300.00","5,167.25"
ANUSOL SUPP PER PIECES 1 PIECES,,PHARMACY,"11,306.25",18,900.00,645.83
APETABON SYR BOTTLE,,PHARMACY,"24,256.95",12,"3,500.00","2,021.41"
APETAMIN SYR 200ML BOTTLE,,PHARMACY,"164,160.58",25,"9,500.00","6,995.00"
APEX BP MACHINE,,PHARMACY,"18,000.00",1,"30,000.00","18,000.00"
APPETON WEIGHT GAIN MILK 450G JAR,,PHARMACY,0.00,0,"26,600.00","16,100.00"
APPLE CIDER N/F 500MG X100 PER TAB,,PHARMACY,"-23,600.00",-4,100.00,59.00
APPLE CIDER VINEGAR BIG BRAGG 946ML BOTT,,PHARMACY,0.00,0,"19,000.00","13,995.00"
APPLE CIDER VINEGAR SMALL BRAGG 473ML BO,,PHARMACY,0.00,0,"12,800.00","9,810.00"
APPLE CIDER WHITEHOUSE SYR 473M BOTTLE,,PHARMACY,0.00,0,"7,100.00","5,250.00"
APPLE CIDER WHITEHOUSE SYR 946M BOTTLE,,PHARMACY,0.00,0,"4,800.00","3,900.00"
APPLE HAIR CREAM,,COSMETICS,0.00,0,500.00,400.00
APPROVEL TABS 150MG X 28 SACHET,,PHARMACY,0.00,0,"2,800.00",0.00
APPROVEL TABS 300MG X 28 SACHET,,PHARMACY,0.00,0,"3,400.00",0.00
APRIL EBONY BAR SOAP,,COSMETICS,"12,833.33",22,800.00,583.33
APROVASC TABS 300/10MG X 28 SACHET,,PHARMACY,"24,563.00",4,"8,000.00","6,140.75"
APROVEL TABS 150MG X 28 BLISTER,,PHARMACY,0.00,0,"2,700.00",0.00
APROVEL TABS 300MG X 28 BLISTER,,PHARMACY,"11,250.00",1,"14,600.00","11,250.00"
APTAMIL 1 400MG TIN S/S,,FOOD ITEMS,0.00,0,0.00,"5,528.57"
APTAMIL 2 400MG TIN S/S,,FOOD ITEMS,0.00,0,0.00,"3,700.00"
APTAMIL MILK STAGE 1 B/S PACK,,FOOD ITEMS,"157,599.99",9,"21,100.00","18,333.33"
APTAMIL MILK STAGE 2 B/S JAR,,FOOD ITEMS,"36,666.67",2,"21,100.00","18,333.33"
APTAMIL MILK STAGE 3 B/S JAR,,FOOD ITEMS,"145,531.26",9,"18,800.00","16,166.67"
APTAMIL MILK STAGE 4 JAR,,FOOD ITEMS,0.00,0,0.00,"4,940.00"
APTIZOOM SYR 200ML BOTTLE,,PHARMACY,0.00,0,"4,000.00","2,870.00"
AQUA COOL BRUSH PCS,,HOUSEHOLD ITEMS,"-1,480.00",-9,0.00,164.44
AQUA ORAL CARE TOOTH BRUSH PACK,,HOUSEHOLD ITEMS,500.00,1,700.00,500.00
AQUA TEARS EYE DROPS 10ML X 1 PACK,,PHARMACY,"12,841.28",5,"3,500.00","2,600.00"
AQUACEF 500MG PACK,,PHARMACY,0.00,0,"3,200.00","2,474.00"
AQUACEF SUSP. 100MLS BOTTLE,,PHARMACY,"24,327.94",9,"3,800.00","2,720.00"
AQUACIPRO 500MG PACK,,PHARMACY,0.00,0,"1,000.00",535.00
AQUACLAV 1G X 14 PACK,,PHARMACY,"48,899.63",18,"4,200.00","2,800.00"
AQUACLAV 375MG X 20 TABS PACK,,PHARMACY,"71,170.78",29,"3,500.00","2,400.00"
AQUACLAV 625MG X14 PACK,,PHARMACY,"115,761.72",48,"3,500.00","2,400.00"
AQUACLAV SUSP  228.5 BOTTLE,,PHARMACY,"11,100.00",6,"2,800.00","1,700.00"
AQUAFIX SUSP 100ML BOTTLE,,PHARMACY,"25,200.00",12,"3,000.00","2,100.00"
AQUAFRESH LITTLE TEETH TOOTHPASTE 3-5YRS,,HOUSEHOLD ITEMS,"10,000.00",5,"2,400.00","2,000.00"
AQUALEVO (LEVOFLOXACIN 500MG),,PHARMACY,0.00,0,"1,500.00",698.00
AQUAMAL QS,,PHARMACY,"134,154.68",249,"1,000.00",425.00
AQUAMAL QS SOFTGEL,,PHARMACY,0.00,0,"2,000.00","1,210.00"
AQUASULF SULPHUR OINT.,,PHARMACY,"1,950.00",9,300.00,216.67
AQUIXIM 400MG X10,,PHARMACY,0.00,0,"4,200.00","2,283.33"
AQUIXIM SUSP 100ML,,PHARMACY,"-3,000.00",-1,"3,000.00","2,150.00"
ARBITEL 40MG X 30 BLISTER,,PHARMACY,0.00,0,0.00,"1,115.00"
ARBITEL 80MG X30 BLISTER,,PHARMACY,"1,866.66",1,"2,600.00","1,866.67"
ARBITEL AM X30 SACHET,,PHARMACY,"3,624.00",3,"1,600.00","1,208.00"
ARCHICHLOR CHLORPHENIRAMINE SYR BOTTLE,,PHARMACY,-400.00,-2,200.00,0.00
ARCHIPROFEN SYR 100MLBOTTLE,,PHARMACY,700.00,2,600.00,350.00
ARENAX PLUS DISPERSIBLE X6 PINK,,PHARMACY,"15,073.93",43,700.00,380.00
ARENAX PLUS FORTE,,PHARMACY,"31,860.00",27,"1,900.00","1,400.00"
ARENAX PLUS X12 PURPLE,,PHARMACY,"19,317.29",42,900.00,550.00
ARENAX PLUS X18 GREEN,,PHARMACY,"30,306.52",45,"1,200.00",695.00
ARH-A ARTEMETHER INJ   80MG PACK,,PHARMACY,0.00,0,300.00,0.00
ARISTOBET N EYE OINTMENT,,PHARMACY,"-9,000.00",-3,"3,000.00","2,150.00"
ARISTOBET-N EYE/EAR DROPS 5ML BOTTLE,,PHARMACY,"11,995.55",6,"3,000.00","2,050.00"
ARISTOCOM EYE DROPS 5ML X 1 BOTTLE,,PHARMACY,"-1,780.00",-2,"1,200.00",890.00
ARMSLING (MOTECH) UNKNOWN,,PHARMACY,0.00,0,"2,700.00",0.00
AROTRIX CREAM PERMETHRIN 15G TUBE,,PHARMACY,"18,668.12",8,"3,200.00","2,335.00"
ARTANE COUNTING,,PHARMACY,"2,880.00",360,15.00,8.00
ARTEBETA INJ 150MG/2ML PACK,,PHARMACY,"-2,000.00",-1,"2,000.00","1,370.00"
ARTEFORTH TABS 80/480 X 6 PACK,,PHARMACY,0.00,0,500.00,0.00
ARTELUM COMBO TAB,,PHARMACY,0.00,0,"1,500.00",850.00
ARTELUMEX 80/480mg,,PHARMACY,"5,083.36",5,"1,500.00","1,050.00"
ARTELUMEX SYR 60ML X 1 BOTTLE,,PHARMACY,0.00,0,800.00,550.00
ARTEMEF 80/480 TAB,,PHARMACY,"24,618.16",13,"2,600.00","1,900.00"
